"id","scheme_id","name","water_source_id","gps_latitude","gps_longitude","county_id","sub_county_id","ward_id","status","description","boundary_geojson","deleted_at"
"179","GAR/TEST/003","GARISSALAGSCHM1","1","0.503734","38.648811","7","19","213","active","","",""
"178","GAR/TEST/002","GARISSABALSCHM1","1","-0.4532293","39.6460988","7","18","208","active","","",""
"177","GAR/TEST/001","GARISSATWNSCHM1","1","-0.6906534","40.3088626","7","17","166","active","","",""
"161","GAR/BAL/SCHM/001","Admin","1","-0.4532293","39.6460988","7","18","208","inactive","New Scheme","",""
"160","GAR/MOD/SCHM/001","hargesa","1","-0.4725528","39.6027669","7","19","212","active","new test scheme","",""
"127","gsa_schm_dab_066","LABASIGALE B1","1","0.172624","40.2850806","7","20","217","active","","",""
"128","gsa_schm_dab_067","WELHAR BOREHOLE 1","","0.2141647","40.1518695","7","","30","active","","",""
"129","gsa_schm_dab_068","LANDER BOREHOLE","","0.2255946","40.1695988","7","","30","active","","",""
"130","gsa_schm_dab_069","LANDING BOREHOLE","","0.1246433","40.1556903","7","","30","inactive","","",""
"131","gsa_schm_dab_070","Labasigale borehole 2","1","0.1723307","40.2850881","7","20","219","active","","",""
"132","gsa_schm_faf_001","BOHOLE 5 1 BHS 1","","0.0008481","40.3509108","7","","31","under_construction","","",""
"133","gsa_schm_faf_002","FAFI HAIJIN Bohole 1","","-0.1034091","40.1980379","7","","31","active","","",""
"134","gsa_schm_faf_003","Jambelle bohole1","","-0.4882777","39.6637479","7","","31","under_construction","","",""
"135","gsa_schm_faf_004","Mansa bohole1","","-1.2114926","40.0036007","7","","31","inactive","","",""
"136","gsa_schm_faf_005","Garasweynow bohole 1","","-1.4264872","40.0799463","7","","31","active","","",""
"137","gsa_schm_faf_006","Daddre bohole 1","","-0.4132181","39.9794238","7","","31","active","","",""
"138","gsa_schm_faf_007","Hawajot bohole1","","-1.226072","40.042294","7","","31","active","","",""
"139","gsa_schm_faf_008","Diciiso bohole 1","","-0.4476016","39.9204487","7","","31","active","","",""
"140","gsa_schm_faf_009","Harbole bohole 1","","-0.4235466","40.23284","7","","31","active","","",""
"141","gsa_schm_faf_010","Fafi bohole 1","","-0.3932042","40.3235315","7","","31","inactive","","",""
"142","gsa_schm_faf_011","Mathahmarub","","-0.4365089","40.3415235","7","","31","active","","",""
"143","gsa_schm_faf_012","Yumbis Bohole","","-0.1878407","40.3816965","7","","31","active","","",""
"144","gsa_schm_faf_013","Nanighi borehole 2","","-0.8509525","39.8640868","7","","31","active","","",""
"145","gsa_schm_faf_014","Kamuthe borehole","","-0.7338389","39.8315858","7","","31","active","","",""
"146","gsa_schm_faf_015","Abaqdera borehole","","-1.2808852","36.7927859","7","","31","active","","",""
"147","gsa_schm_faf_016","Bulla Nadhir","","-0.7068765","39.8280607","7","","31","inactive","","",""
"148","gsa_schm_faf_017","Warable borehole 1","","-0.6756217","39.8200632","7","","31","active","","",""
"149","gsa_schm_faf_018","Amuma borehole 2","","-0.3403785","40.9164017","7","","31","active","","",""
"150","gsa_schm_faf_019","Welmarer borehole 1","","-0.17659","40.5805733","7","","31","active","","",""
"151","gsa_schm_faf_020","Alinjuqur borehole 1","","-0.0314492","40.4565125","7","","31","active","","",""
"152","gsa_schm_faf_021","Leku borehole","","-1.1524891","40.8324819","7","","31","inactive","","",""
"153","gsa_schm_faf_022","Sadahgose borehole 1","","-0.2649783","40.7871167","7","","31","active","","",""
"154","gsa_schm_hul_001","Hulugho water system borhole 1","","-1.148253","41.0484006","7","","32","active","","",""
"155","gsa_schm_hul_002","SANGAILU borhole 2","","-1.318415","40.7383967","7","","32","active","","",""
"156","gsa_schm_ijr_001","Gababa bohole","1","-1.5847335","40.1119931","7","22","229","active","","",""
"157","gsa_schm_ijr_002","Ijara water point","","-1.5739267","40.5211208","7","","32","active","","",""
"158","gsa_schm_ijr_003","Masalani bole","","-1.678325","40.1192824","7","","32","active","","",""
"159","gsa_schm_ijr_004","Bodhai water point","","-1.8257933","40.6763233","7","","32","active","","",""
"9","gsa_schm_twn_001","Adc borehole 1","","-0.4213721","39.6533618","7","","27","active","","",""
"10","gsa_schm_twn_002","Ziwani borehole 1 main","","-0.4705849","39.6364578","7","","27","active","","",""
"11","gsa_schm_twn_003","Last mile borehole 2","","-0.4727484","39.6387672","7","","27","active","","",""
"12","gsa_schm_twn_004","Iftin borehole 1","","-0.5015658","39.6536699","7","","27","active","","",""
"13","gsa_schm_twn_005","Bouralgy borehole","","-0.473578","39.6613161","7","","27","inactive","","",""
"14","gsa_schm_twn_006","Abdiluge","","-0.4272305","39.7211845","7","","27","inactive","","",""
"15","gsa_schm_twn_007","Korakoara borehole","","-0.613858","39.7809819","7","","27","active","","",""
"16","gsa_schm_twn_008","Jarirot borehole","","-0.5615364","39.7101447","7","","27","active","","",""
"17","gsa_schm_twn_009","Warable borehole 2","","-0.6911682","39.8147165","7","","27","active","","",""
"18","gsa_schm_bal_001","Balambala borehole1","","-0.0778682","39.0892904","7","","28","active","","",""
"19","gsa_schm_bal_002","Saka Borehole 1","","-0.1452289","39.3276091","7","","28","active","","",""
"20","gsa_schm_bal_003","Raya community borehole 1","","-0.3654554","39.6005966","7","","28","inactive","","",""
"21","gsa_schm_bal_004","Sankuri borehole","","-0.3056013","39.5535906","7","","28","under_construction","","",""
"22","gsa_schm_bal_005","Ohio borehole 1","","0.0947398","39.2117897","7","","28","inactive","","",""
"23","gsa_schm_bal_006","Lago BOREHOLE1","","-0.205653","39.8675833","7","","28","active","","",""
"24","gsa_schm_bal_007","Jarajara bohol water","","-0.0468672","39.0131766","7","","28","active","","",""
"25","gsa_schm_bal_008","Kone water system","","-0.0551912","38.9872533","7","","28","active","","",""
"26","gsa_schm_bal_009","Kuno Borehole 1","","-0.0916932","39.1049947","7","","28","active","","",""
"27","gsa_schm_bal_010","Danyere bohole 1","","0.0050544","38.7386404","7","","28","inactive","","",""
"28","gsa_schm_bal_011","Ture borehole","","-0.2070428","39.450788","7","","28","active","","",""
"29","gsa_schm_bal_012","Hirbayo Borehole","","-0.090367","39.2903356","7","","28","under_construction","","",""
"30","gsa_schm_bal_013","Shabah borehole","","-0.331887","39.5866909","7","","28","active","","",""
"31","gsa_schm_bal_014","Lehey borehole","","-0.3051083","39.5683899","7","","28","inactive","","",""
"32","gsa_schm_bal_015","Dujis borehole 2","","0.2475537","39.4095281","7","","28","inactive","","",""
"33","gsa_schm_bal_017","Libahlow bohole","","0.1862617","38.8894951","7","","28","active","","",""
"34","gsa_schm_bal_018","Aragadud Borehole","","-0.261798","39.8127606","7","","28","active","","",""
"35","gsa_schm_bal_019","Nuno borehole","","-0.1951541","39.6191566","7","","28","under_construction","","",""
"36","gsa_schm_bal_020","Madhahlibah borehole","","-0.1481967","39.3590136","7","","28","under_construction","","",""
"37","gsa_schm_bal_021","Shimbirey borehole 2","","-0.0257422","39.4910202","7","","28","inactive","","",""
"38","gsa_schm_bal_022","Hagarjarer bohole","","0.2764017","38.7502717","7","","28","inactive","","",""
"39","gsa_schm_lag_001","Gone borehole 1","","-0.4275534","39.6513312","7","","29","inactive","","",""
"40","gsa_schm_lag_002","Skanska borehore 1","","0.9012146","39.3260615","7","","29","inactive","","",""
"41","gsa_schm_lag_003","Islamic borehole 3","","-0.4508479","39.6449951","7","","29","active","","",""
"42","gsa_schm_lag_004","Gubader borehole 1","","0.9258542","39.3243559","7","","29","inactive","","",""
"43","gsa_schm_lag_005","Gunjia","","0.8594351","39.3832371","7","","29","active","","",""
"44","gsa_schm_lag_006","Aqal Aar borehole","","0.5580473","39.7761184","7","","29","under_construction","","",""
"45","gsa_schm_lag_007","Gutale borehole","","0.4666796","39.5805837","7","","29","active","","",""
"46","gsa_schm_lag_008","Arera borehole","","-0.4260395","39.6486539","7","","29","inactive","","",""
"47","gsa_schm_lag_009","Madogashe water supply","","0.7226136","39.1771654","7","","29","inactive","","",""
"48","gsa_schm_lag_010","Shanta abaq borehole 1","","0.4629036","39.7428022","7","","29","under_construction","","",""
"49","gsa_schm_lag_011","Barsaben borehole","","0.4542341","39.7399701","7","","29","under_construction","","",""
"50","gsa_schm_lag_012","DADFAROW BOREHOLE 2 (KDRDIP)","","0.6197265","39.565792","7","","29","active","","",""
"51","gsa_schm_lag_013","Katalash","","0.3286613","39.5590791","7","","29","active","","",""
"52","gsa_schm_lag_014","RIIGDAM BOREHOLE","","0.6441883","39.5049838","7","","29","active","","",""
"53","gsa_schm_lag_015","ELAN/KROSBOBAY BOREHOLE","","0.7377868","39.3642918","7","","29","active","","",""
"54","gsa_schm_lag_016","Bor'ano borehole","","0.4542347","39.739972","7","","29","active","","",""
"55","gsa_schm_lag_017","Lolol borehole","","0.4542799","39.7399495","7","","29","active","","",""
"56","gsa_schm_lag_018","Hagar borehole 1","","0.8124178","39.4003135","7","","29","active","","",""
"57","gsa_schm_lag_019","Baraki maalimin borehole 1","","0.6539223","39.5870623","7","","29","inactive","","",""
"58","gsa_schm_lag_020","JILANGO/DIHLE BOREHOLE","","0.54729","39.2802765","7","","29","active","","",""
"59","gsa_schm_lag_021","Birta borehole","","0.3253733","39.6434199","7","","29","inactive","","",""
"60","gsa_schm_lag_022","Languyata borehole","","-0.4545113","39.6430974","7","","29","inactive","","",""
"61","gsa_schm_lag_023","SHABELDULA BOREHOLE","","0.5725811","39.3203897","7","","29","active","","",""
"62","gsa_schm_lag_024","Gurufa borehole 2","","0.8009631","39.4655032","7","","29","inactive","","",""
"63","gsa_schm_lag_025","Ahmed tukale borehole","","0.4541611","39.7399748","7","","29","active","","",""
"64","gsa_schm_lag_026","Benane water supply","","0.5027978","38.6608539","7","","29","inactive","","",""
"65","gsa_schm_dab_001","DOBALE BH","","0.3498734","40.864487","7","","30","active","","",""
"66","gsa_schm_dab_002","KULAN BOREHOLE 2","","0.2221","40.6421467","7","","30","active","","",""
"67","gsa_schm_dab_003","HARHAR BH","","0.408939","40.9917933","7","","30","active","","",""
"68","gsa_schm_dab_004","DAGELIMA BH","","0.3017855","40.9829525","7","","30","active","","",""
"69","gsa_schm_dab_005","Well yahoo borehole","","0.2320101","40.6591634","7","","30","active","","",""
"70","gsa_schm_dab_006","SHEBTA-AD BOREHOLE","","0.1554291","40.6696184","7","","30","active","","",""
"71","gsa_schm_dab_007","KADAQSO BOREHOLE","","0.2071199","40.5940544","7","","30","active","","",""
"72","gsa_schm_dab_008","DADQURAN BH","","0.1895213","40.8718589","7","","30","active","","",""
"73","gsa_schm_dab_009","INDAD BH","","0.3173696","40.7836936","7","","30","active","","",""
"74","gsa_schm_dab_010","MALAYLEY BOREHOLE 2","","0.203408","40.5258728","7","","30","active","","",""
"75","gsa_schm_dab_011","LASAANO BH","","0.3522523","40.8694467","7","","30","active","","",""
