Sno,SubCounty,Ward,Village,Latitude,Longitude,RuralUrban,DistancetonextstrategicBoreholekm,Totalnumberofhouseholdscurrentlyservedfromthescheme,WhatistheserviceareaforthisschemeHowmanykilometersfromheredothep,Isthisschemeusedforagricultureandirrigationbyfarmers,Howmanyfarmersusethisscheme ,Whatistheaveragesizedfarmthatusesthiswaterhectares ,Isthewaterschemeusedforlivestock,Estimatednumberofcamelsusingschemeperday,Estimatednumberofcattleusingschemeperday,Estimatednumberofhorsesdonkeysusingwaterpointperday,Estimatednumberofgoatssheepusingwaterpointperday,Isthewaterschemeusedforwatertrucking,Numberoftrucksfillingperday,Howmanytimesperweekdoesthewatertruckingoccur,Addanyothercommentsonwatertruckingdetails,ConstructionyearofthewellboreholeinEFYortheyearofrehabilitation,Boreholeorwelldepthmeters,Physicalstateofthewellborehole,TypeofPower,Productionofsystemyieldordischargemeterscubedhour,Isthereawatermeteratthewatersource,Isthewatermeterworking,Whatisthecurrentreadingofthewatermeter,Isthewaterschemecurrentlyfunctional,Pleasetakeapictureillustratingthenonfunctionalityorpartialfuncti,Maincauseofnonfunctionalityorpartialfunctionality,MaincauseofnonfunctionalityorpartialfunctionalityOtherspecify,Numberofmonthssincenonfunctional,Doestheschemehaveanyemergingproblemsthatmightleadtononfunctional,Pleasedescribetheproblemsthatmightleadtononfunctionalityinthenea,Wasthewaterschemeoutofserviceoneormoredaysinthelastmonth,Numberofdaysoutofserviceinthelastmonth,Dateoflastserviceorrepair,Howmanytimeshasthewaterschemebrokeninthelastyear,Describethefunctionalityproblemsoverthepastyear,Howmanydaysperweekdoesthepumprunonaverage,Howmanyhoursperdaydoesthepumprunonaverage,Isthisaseasonalwaterschemethatcommonlyfailsinthedryseason,Isthepumpusedlessduringwetrainyseason,Duringwetrainyseasonshowmanydaysaweekdoesthepumprunonaverage,Duringwetrainyseasonshowmanyhoursperdaydoesthepumprunonaverage,SolarPanelpowerratingWatts,SolarPanelCondition,Yearwhengeneratorwasinstalledoryearofreinstallation,Physicalstateofthegenerator,Generatorbrand,GeneratorbrandOtherspecify,Generatormodel,Generatorserialnumber,GeneratormaxAmpsstartingamps,Generatorpicture,PumpControllerManufacturer1,PumpControllerManufacturerOtherspecify,PumpControllerModelNumber,Pictureofpumpcontroller,PumpMotorModelNumber,Pumpheadmodelnumber,Typeandsizeofcasing,Wellpumpremarks,Contact1name,Contact1position,Contact1positionOtherspecify,Contact1telephonenumber,Contact2name,Contact2positionOtherspecify,Contact2telephonenumber,Isasensorinstalledatthesite,Typeofsensorinstalled,TypeofsensorinstalledOtherspecify,Managementbody,Currentmanagementstatus,Whatisthemethodofpayment1,WhatisthemethodofpaymentOtherspecify1,Whatisthemethodofpayment2,Typeoftariffsystemmostcommon,WhatisthetariffamountinKES,Isthereaspecialtariffforlivestockperanimal,WhatisthetariffpercamelKES,WhatisthetariffpercattleKES,WhatisthetariffperhorsedonkeyKES,WhatisthetariffpergoatsheepKES,Isthereatariffperinstitutionschoolshealthcentresetc,WhatisthemonthlyinstitutionaltariffKES,Numberofinstitutionssuppliedbyschemethatpayamonthlyinstitutional,Whenthisboreholeisworkingfromwheredohouseholdsprimarilygettheirw,Whenthisboreholeisworkingfromwheredohouseholdsprimarilygetthei_A,WhenthisboreholeisworkinghowmanyHOURSperdaydohouseholdstypically,Whenthisboreholeisnotworkingfromwheredohouseholdsprimarilygetthe,WhenthisboreholeisNOTworkingandhouseholdshavetouseanalternativew,Hastherebeensomewaterqualitytestingforthisschemeinthepast,Yearofmostrecentwaterqualitytestdone,Whatwastheresult,Aretherespecificcontaminantsofconcern,AretherespecificcontaminantsofconcernOtherspecify,MeasuredWaterQualityTemperature,MeasuredWaterQualitySpecificconductancemicroSiemenspercm, MeasuredWaterQualityTotalDissolvedSolidsmilligramsliter,Pleaseaddanotherrelevantnotesontheborehole,V109,V110
1,Balambla,Balambla,Hagarjariri,-0.4493582014585510,39.640532487246700,Rural,120.00,50.0,120.0,No,0.0,0.0,Yes,2000.0,0.0,0.0,400.0,Yes,2.0,2.0,No fuction,42974,0.0,Not fictional,0,0,No,No,0.000000000,No,https://api.mwater.co/v3/images/135f9d7c7a1f436ca8509628301d04af,No water,No water,Never,No,No water,No,0.0,27-Jun-19,0.0,Never exist,0.0,0.0,No,No,0.0,0.0,0,0,43643,0,0,0,0,0,0.0,https://api.mwater.co/v3/images/ceada23603284efabbbfa864a6b77f20,0,0,0,https://api.mwater.co/v3/images/79bc9a7890e14dd88ee9667e8ca706d1,0,0,8,Not fiction,Mohamed issack,0727723322,Cheirman,727723322.0000000000000,Mohamed issack,Cheirman,727723322.00000000000,No,Nil,Nil,No fuction,Nothing,Nil,Nil,Nil,2,2.0,No,0,0,0,0.0,No,0.0,0.0,Water tracking,Water tracking,2.0,Water tracking,2hours,No,No,Lack of water,No,No,No,No,No,Dry,#NULL!,
2,Balambla,Balambla,Ashahidin,-0.4493582014585510,39.640532487246700,Rural,20.00,58.0,0.0,No,0.0,0.0,No,0.0,0.0,0.0,0.0,No,0.0,0.0,They depend on water tracking drawn from saqa,43283,300.0,Not functional,No power,0,No,No,0.000000000,No,https://api.mwater.co/v3/images/5093335d8b0140c7b83e1ae1a89d54c0,Well dry,Dry,0,No,The well is dry,Yes,0.0,27-Jun-19,0.0,Well dry,0.0,0.0,No,No,0.0,0.0,No solar panel,No,43643,No generator,No,No generator,No,0,0.0,https://api.mwater.co/v3/images/9a38a85afc284807b583f34dcc16b75f,0,O,0,https://api.mwater.co/v3/images/a2926b1ff09c4200a53928687c4d00ac,0,0,0,Dry,Abdi mathey,Chairman,Chairman,725016291.0000000000000,Abdi mathey,Chairman,725016291.00000000000,No,No,O,Water users association,In place,0,0,0,0,0.0,No,0,0,0,0.0,No,0.0,0.0,Water tracking,Water tracking,0.0,Water tracking,2hrs,No,No,0,No,No,No,No,No,Dry well,#NULL!,
3,Balambla,Balambla,Ohiyo,-0.4493582014585510,39.640532487246700,Rural,15.00,30.0,0.0,No,0.0,0.0,Yes,0.0,200.0,30.0,500.0,Yes,2.0,1.0,Dry,40705,#NULL!,,,1.5,Yes,No,3922.000000000,Yes,https://api.mwater.co/v3/images/e70d6f990ca64dec8261efec0e151fd6,Broken,Non fucational,2years,Yes,Old generate,Yes,6.0,27-Jun-19,3.0,Lack of oil,8.0,8.0,Yes,Yes,8.0,4.0,5.5,Fucational,40721,,,,Lister petter,12016783.08,20.0,https://api.mwater.co/v3/images/a973f25df5de4bd0973a47cff4b03f49,No specify,No specify,No,https://api.mwater.co/v3/images/5d741a44adea4c8f9d7ffcf7bb578749,0,0,8,Good,Ali sheik makow,Operate,Operate,0.0000000000000,Ali sheik makow,Operate,0.00000000000,No,No,No installe,Water use association,In place,Cash,3,Cash,3,3.0,Yes,30,15,0,3.0,No,0.0,0.0,Water tracking,Water tracking,2.0,Water tracking,2,No,No,No,No,No,No,No,No,Generate is old and leaking need reper or replacement,#NULL!,
4,Balambla,Sankuri,Shimbirey,-0.4493582014585510,39.640532487246700,Rural,12.00,140.0,2.0,Yes,0.0,0.0,Yes,20.0,20.0,50.0,500.0,No,0.0,0.0,Less water,38165,200.0,It's good,Hybrid,2,No,No,0.000000000,Yes,https://api.mwater.co/v3/images/0f5f6a092eb9403ea646403206b073c6,The water metre is not fixed,Nothing,0,Yes,Luck of periodic servicing of generator,No,0.0,27-Jun-18,1.0,Mechanical problem,7.0,5.0,No,Yes,3.0,3.0,5.5,It's good,41482,Its good,Day liff,Day liff generator brand,Perkins,39434921,32.5,https://api.mwater.co/v3/images/252f6cb6807347998f90775d509284e5; https://api.mwater.co/v3/images/2465fec78be142a2a6d191668c130d26,Lorentz,No,Not specified,https://api.mwater.co/v3/images/cbf5448a517f45d389b471535dc2ffb1,0,0,6,Functional,Issa farah,Operator,Operator,726115639.0000000000000,Daqane,No,724782698.00000000000,Yes,Sweet sense,Sweet sense,Water users association,Water users association,Cash,Cash,Cash,Flat,2.0,Yes,10,10,0,5.0,No,0.0,0.0,Same borehole,Same borehole,2.0,Water tanks,1,No,No,No,No,No,No,No,No,The borehole is functioning,#NULL!,
5,Balambla,Saka,Saka 1,-0.1449717000000000,39.326424000000000,Rural,7.00,700.0,1.1,No,0.0,0.0,No,0.0,0.0,0.0,0.0,No,0.0,0.0,Nil,39992,10.0,No working,Generator /Lester,20,No,No,0.000000000,No,https://api.mwater.co/v3/images/9925426b2bab4c18b721a5b8da38a9e9,Mechanical problem,Mechanical problem,2years,Yes,Engineering is not fictional,Yes,2.0,28-Jun-17,1.0,engineering has mechanical problem,2.0,2.0,Yes,Yes,2.0,2.0,Generator,Generator,39992,Bad,Least/daylif,Bad,Janan/least,0,0.0,https://api.mwater.co/v3/images/1694c5362e904548a561821c76b34908; https://api.mwater.co/v3/images/07e88cc565c5475aa1fa0942807bfc0b,Daylife,Daylife,0,https://api.mwater.co/v3/images/f6928df57ab8477c95720fc3cbc4eaea,0,0,Conregt reams,0,Abdi Hussein,Operate,Operate,719643363.0000000000000,Abdullah abdi,Chairman,719643363.00000000000,No,0,0,Saka water users association,In place,Cash,Cash,Cash,Cash,300.0,No,0,0,0,0.0,Yes,10000.0,2.0,Tana river,Mechanical problem,2.0,Tana river,2,No,No,No,No,No,No,No,No,Mechanical problem and  engineering no fuction,#NULL!,
6,Balambla,Saka,Saka new,-0.1453979000000000,39.329196300000000,Rural,7.00,800.0,21.0,Yes,10.0,5.0,Yes,500.0,800.0,300.0,1000.0,No,0.0,0.0,Not done,43128,30.0,Well functioning,Solar,35,Yes,Yes,4585.000000000,Yes,https://api.mwater.co/v3/images/9b851dd47d3e4b4a82a5cf26bc73e9f5,"Nothing,its working",None,0,No,There is no problem,No,0.0,28-Jan-18,0.0,None,8.0,7.0,No,No,8.0,8.0,250,It's functional,43128,Solar,Solar,Solar,Solar,0,0.0,https://api.mwater.co/v3/images/abe54df9c1aa4b9bb36c8ad7e054ead9; https://api.mwater.co/v3/images/b5cedd9545a04c89bfbf0e35c8bc2752,Grundfos,Grundfos,22kw,https://api.mwater.co/v3/images/7fe3987b6e2b494589d5145eda8eb39a,0,0,GI 8,It's functioning,Abdi Hussein,Operator,Operator,719643363.0000000000000,Hassan Hussein,Chairman,726140801.00000000000,No,None,None,Saka Water users association,Saka water users association,Cash,Cash,Flat,Flat,300.0,Yes,15,10,0,5.0,Yes,10000.0,3.0,Same borehole,Same borehole,1.0,River Tana,1,No,No,No,No,No,No,No,No,Its fully  fuctioning,#NULL!,
7,Balambla,Sankuri,Abdisamadi borehole 2,-0.4874738254535580,39.648523305222600,Rural,#NULL!,200.0,0.5,No,0.0,0.0,No,0.0,0.0,0.0,50.0,No,0.0,0.0,Nil,43371,250.0,Good,Generator,4,Yes,Yes,18492.000000000,Yes,,Nil,Nil,Nil,No,Nil,No,0.0,28-Jun-19,1.0,Mechanical problem,1.0,6.0,Yes,No,1.0,2.0,0,0,43644,Good,Welland,Welland,Welland,20838.9000547,26.4,https://api.mwater.co/v3/images/023cddc236a4488fb47d86947266c15a,Telematics,Telematics,Nil,https://api.mwater.co/v3/images/05cf9bcc571646c2bd5155f450274a19,0,0,8,Good,Abdullah Ahmed,Operate,Operate,726456756.0000000000000,Mohamed dubow,Operate,726456756.00000000000,No,Nil,Nil,Water users association,Water users association,Cash,Cash,Falat,Cash,0.0,No,0,0,0,0.0,No,0.0,0.0,Water ban,Water ban,3.0,Water tracking,2,0,0,0,0,0,0,0,0,Very thinking is good,#NULL!,
8,Balambla,Sankuri,Balich 1,-0.4874738254535580,39.648523305222600,Rural,10.00,600.0,3.0,No,0.0,0.0,Yes,0.0,60.0,0.0,100.0,No,0.0,0.0,There is no enough water,40337,50.0,Partial fuctioning,Generator,10,No,No,0.000000000,No,https://api.mwater.co/v3/images/098af43b1d6448ef95266ce00ea9ef2a,Electrical problem,Electrical problem,6 months,Yes,Due to old generator and no yield of water,Yes,0.0,28-Jun-17,6.0,Has an electrical problem and the well dries up after short pumping time,0.0,0.0,No,Yes,7.0,0.0,2.2kw,It's good,41810,Not good,Lister,Lister,Lister letter,,16.0,https://api.mwater.co/v3/images/8879643f98574a878bf118d909f717b7,Daylife,Daylife,M/3HP,https://api.mwater.co/v3/images/a0f7fa3e4a7f499c93933451927f8eda,0,0,Reams,It's not functional,Hussein Ali Hassan,Operator,Operator,725708416.0000000000000,Yaqub farah,Chairman,725708416.00000000000,Yes,Sweet sence,Sweet sence,Water users association,Water users association,Cash,Cash,Cash,Flat,150.0,No,0,0,0,0.0,Yes,2000.0,2.0,Same borehole,Same borehole,3.0,River Tana,1hr,No,No,No,No,No,No,No,No,It's not functional because the generator has both electrical and mechanical problem,#NULL!,
9,Fafi,Bura,Garasweynow,-0.4874738254535580,39.648523305222600,Rural,20.00,160.0,2.0,No,0.0,0.0,Yes,0.0,650.0,20.0,3500.0,No,0.0,0.0,There is no water trucking,41469,150.0,It's good,Generator,12,No,No,0.000000000,Yes,https://api.mwater.co/v3/images/50253092a67d4e92b51494536c893836,It's fuctioning,It's fucntioning,0,No,None,No,0.0,14-Jul-13,0.0,None,3.0,3.0,No,No,0.0,0.0,Generator,"Generator,it's working",42550,Its fucntional,Perkins,Perkins,800,900691,40.0,https://api.mwater.co/v3/images/c231dd24e7914dc28a8aa4c68bb41808,Lovato,Lovato,Non seen,https://api.mwater.co/v3/images/c2fdf14bfef14ee3a4ac6dd5cd0cbb21,0,0,Steel 80,It's  functional,Ibrahim muhumed,Operator,Operator,740339562.0000000000000,Abukar sugow,Chairman,726120981.00000000000,No,None,None,Water users association,Water users association,Cash,Cash,Cash,Flat,5.0,Yes,0,400,0,300.0,Yes,300.0,1.0,Same borehole,Same borehole,2.0,Tana river,2,0,0,0,0,0,0,0,0,Good,#NULL!,
10,Fafi,Bura,Aliemshi,-1.3539702000000000,40.051304200000000,Rural,20.00,120.0,0.0,No,0.0,0.0,No,0.0,0.0,0.0,0.0,No,0.0,0.0,Nil,43645,150.0,It's working well,Generator,12,Yes,Yes,13658.000000000,Yes,https://api.mwater.co/v3/images/52bf6358a42341f39f8c9557a7435bcf,Lack of bettery,Lack of bettery,2,Yes,Bettery not functional,Yes,1.0,29-Jun-19,2.0,Piping problem,1.0,1.0,No,No,2.0,2.0,0,0,41819,Good,Perkins,Perkins,Dj,997470,48.0,https://api.mwater.co/v3/images/db48f0d88a7e442f99ee44ffaeb4c8f1,Daylife,Daylife,Loveto,https://api.mwater.co/v3/images/ce35e0966d054baaa941a5abb6ee9a1d,0,0,8,It's good,Muhumed oman,0714204781,Operate,714204781.0000000000000,Muhumed oman,Operate,714204781.00000000000,No,0,0,Water users association,Water users association,Cash,Cash,Cash,Cash,300.0,No,0,0,0,0.0,No,0.0,0.0,Tana river,Tana river,2.0,Tana river,2,0,0,0,0,0,0,0,0,Good,#NULL!,
